timestamp,clave,decision,motivo,evidencia
2026-08-07T09:18:10+00:00,tratamiento_falta_estimador,bandera_predictora_sin_imputacion_global,AUC del clasificador auxiliar = 0.8861 -> ausencia informativa (SPEC_V2 3.2). Modelo final maneja nulos nativamente.,"{""auc"": 0.886128195851234, ""top_10"": [""saldo_liquido_total"", ""bolsillos_saldo_prom_6m"", ""ingresos_mensuales"", ""bolsillos_tenencia"", ""bolsillos_saldo_snapshot"", ""total_activos"", ""cuenta_ahorro_tenencia"", ""bolsillos_tendencia_6m"", ""n_productos_no_etiqueta"", ""fiducuenta_tendencia_6m""], ""n_sin_estimador"": 114431}"
2026-08-07T10:25:00+00:00,fuga_recencia_antiguedad,redefinir_dias_desde_ultimo_dato_sin_dato_reciente_antiguedad_relacion_meses_sobre_fuentes_no_etiqueta,"Fuga de etiqueta CONFIRMADA (leakage-investigation.md, 2026-08-06): dias_desde_ultimo_dato/sin_dato_reciente (MAX de {producto}_fecha_snapshot, agregar_recencia_dato) y antiguedad_relacion_meses (MIN de primer registro, construir_primer_registro) se calculaban sobre las 7/5 fuentes SIN excluir Invesbot/Inversion Virtual, los dos productos que DEFINEN etiqueta_adopcion (SPEC_V2 S1 prohibe cualquier predictor derivado de ellos). Ninguna de las dos variables tiene un prefijo de fuga reconocido por src/fuga.py, asi que el guard no las atrapaba. Eran, por permutation importance, la #1 y #2 variable del modelo A (63 features), y explicaban la practica totalidad del salto de AUC 0.9320 (42 features) a 0.9497 (63 features), por encima del umbral de sospecha de fuga (UMBRAL_AUC_FUGA=0.95, SPEC_V2 S1). sin_dato_reciente quedaba ademas mecanicamente forzado a 0 para TODO adoptante (si etiqueta_adopcion=1 entonces por definicion existe un fecha_snapshot no nulo de invesbot o inversion_virtual). DECISION DEL USUARIO (implementada exactamente, no una opcion alternativa evaluada): redefinir las tres variables sobre las 5 fuentes NO-etiqueta unicamente (cuenta_ahorro, cuenta_corriente, bolsillos, fiducuenta, cdt), derivadas de config.PRODUCTOS_ETIQUETA en vez de hardcodear la lista de 5, en lugar de eliminarlas o mantener variantes duplicadas todas-las-fuentes. Esto AMENDA la redaccion literal de D8 en DECISIONES.md (""primer registro del cliente en cualquier fuente"") a ""cualquier fuente NO-etiqueta"": el usuario acepto explicitamente que esta amendment sustituye la redaccion original de D8, con el respaldo de que la redefinicion mide 0.8942 -- estadisticamente identica a simplemente eliminar las variables (0.8941) -- por lo que no se pierde poder predictivo real y se preserva la intencion de control de calidad de dato (D0) y de antiguedad de relacion (D8) en vez de descartarla. Edge case deliberado: un cliente cuyo UNICO dato historico este en Invesbot/Inversion Virtual ahora no tiene ningun snapshot no-etiqueta, asi que dias_desde_ultimo_dato queda NULO y sin_dato_reciente=1 para el -- correcto bajo la nueva definicion (no hay señal de recencia no-etiqueta para el), y equivalentemente antiguedad_relacion_meses queda NULO (el cliente no aparece en primer_registro_plata).","{""auc_antes_fix_63_features"": 0.9497, ""auc_despues_fix_gate_real"": 0.8942246185377238, ""auc_ablation_drop_las_tres_variables"": 0.8941, ""auc_ablation_redefinir_no_etiqueta_scratch"": 0.8942, ""auc_ablation_drop_dias_desde_ultimo_dato_y_sin_dato_reciente"": 0.9252, ""auc_ablation_drop_antiguedad_relacion_meses"": 0.9326, ""umbral_auc_fuga"": 0.95, ""fraccion_max_fecha_snapshot_atribuible_a_producto_etiqueta_no_adoptantes"": 0.000227, ""fraccion_max_fecha_snapshot_atribuible_a_producto_etiqueta_adoptantes"": 0.3127, ""fraccion_min_primer_registro_atribuible_a_producto_etiqueta_no_adoptantes"": 0.00061, ""fraccion_min_primer_registro_atribuible_a_producto_etiqueta_adoptantes"": 0.3238, ""sin_dato_reciente_tasa_no_adoptantes_pre_fix"": 0.414, ""sin_dato_reciente_tasa_adoptantes_pre_fix"": 0.0, ""variables_afectadas"": [""dias_desde_ultimo_dato"", ""sin_dato_reciente"", ""antiguedad_relacion_meses""], ""archivos_modificados"": [""oro/construir_cliente_features.py::agregar_recencia_dato"", ""plata/transformacion.py::construir_primer_registro""], ""investigacion"": ""resumida en el campo motivo de esta misma fila"", ""reporte_fix"": ""resumido en el campo motivo de esta misma fila""}"
2026-08-07T10:39:36+00:00,tratamiento_falta_estimador,bandera_predictora_sin_imputacion_global,AUC del clasificador auxiliar = 0.8861 -> ausencia informativa (SPEC_V2 3.2). Modelo final maneja nulos nativamente.,"{""auc"": 0.8861190194641916, ""top_10"": [""saldo_liquido_total"", ""bolsillos_saldo_prom_6m"", ""ingresos_mensuales"", ""bolsillos_tenencia"", ""total_activos"", ""cuenta_ahorro_tenencia"", ""bolsillos_tendencia_6m"", ""antiguedad_relacion_meses"", ""n_productos_no_etiqueta"", ""bolsillos_tendencia_relativa_6m""], ""n_sin_estimador"": 114431}"
2026-08-07T11:16:34+00:00,inclusion_vivienda,conservar_categorica_con_sin_dato,"IV categorica=0.1207, IV bandera=0.1083, umbral=0.02 (SPEC_V2 SS6.5)","{""accion"": ""conservar_categorica_con_sin_dato"", ""conservar_categorica"": true, ""conservar_bandera"": false, ""iv_categorica"": 0.12069477777090441, ""iv_bandera"": 0.10825052672239739, ""umbral"": 0.02}"
2026-08-07T11:16:34+00:00,variables_descartadas_por_iv,7 variables descartadas,IV < 0.02 (SPEC_V2 SS4.1),"{""variables"": [""cuenta_ahorro_tendencia_relativa_6m"", ""cdt_tenencia"", ""cuenta_corriente_tendencia_relativa_6m"", ""cdt_tendencia_relativa_6m"", ""sin_dato_financiero"", ""falta_financiero"", ""sin_dato_financiero_total""]}"
2026-08-07T11:36:57+00:00,inclusion_vivienda,conservar_categorica_con_sin_dato,"IV categorica=0.1207, IV bandera=0.1083, umbral=0.02 (SPEC_V2 SS6.5)","{""accion"": ""conservar_categorica_con_sin_dato"", ""conservar_categorica"": true, ""conservar_bandera"": false, ""iv_categorica"": 0.12069477777090441, ""iv_bandera"": 0.10825052672239739, ""umbral"": 0.02}"
2026-08-07T11:36:57+00:00,variables_descartadas_por_iv,7 variables descartadas,IV < 0.02 (SPEC_V2 SS4.1),"{""variables"": [""cuenta_ahorro_tendencia_relativa_6m"", ""cdt_tenencia"", ""cuenta_corriente_tendencia_relativa_6m"", ""cdt_tendencia_relativa_6m"", ""sin_dato_financiero"", ""falta_financiero"", ""sin_dato_financiero_total""]}"
2026-08-07T14:12:56+00:00,metrica_error_monto,reportar_mae_y_mape_mediana_en_vez_de_mape_media,"SPEC_V2 §6.3.4 pide literalmente 'MAE y MAPE'. Se AMENDA esa redacción: el MAPE media no es una métrica válida para este backtest porque la población de validación (últimos 3 meses) está dominada por clientes con crecimiento real ~0 (mediana de crecimiento_12m = 0 para 'app' sobre toda la ventana completa) mientras el modelo predice crecimiento positivo de forma generalizada; el resultado es un puñado de ratios de error extremos (real casi 0, error grande) que domina la SUMA usada por la media. Subir eps a 1,000,000 COP no lo arregla (sigue por encima de 200% de MAPE media): el problema es la forma de la distribución de ratios, no el umbral de exclusión. Se reporta MAE (interpretable en pesos) + MAPE MEDIANA (robusta a esa cola) como cifra de negocio; el MAPE media se conserva en metricas_monto.json solo como evidencia de por qué se necesitó el amendment, nunca como cifra a citar.","{""componentes"": {""app"": {""pct_error_negativo"": 0.917214953623407, ""valor_modal_error"": -65253.229265354865, ""masa_en_valor_modal"": 0.787171970439635, ""mape_media"": 13297.057178554342, ""mape_mediana"": 1.0015536483158418, ""mae"": 13976975.215917211, ""n_mape"": 20235}, ""prod_conservadores"": {""pct_error_negativo"": 0.7688098559686298, ""valor_modal_error"": -91364.15987903281, ""masa_en_valor_modal"": 0.2358890732222306, ""mape_media"": 7303.649248820019, ""mape_mediana"": 5.039499535111035, ""mae"": 18434686.647955664, ""n_mape"": 136600}}, ""mape_media_total"": 22558.0950510539, ""mape_mediana_total"": 4.322037601676541, ""mae_total"": 30067086.139143016, ""n_meses_validacion"": 3}"
2026-08-07T14:18:47+00:00,metrica_error_monto,reportar_mae_y_mape_mediana_en_vez_de_mape_media,"SPEC_V2 §6.3.4 pide literalmente 'MAE y MAPE'. Se AMENDA esa redacción: el MAPE media no es una métrica válida para este backtest porque la población de validación (últimos 3 meses) está dominada por clientes con crecimiento real ~0 (mediana de crecimiento_12m = 0 para 'app' sobre toda la ventana completa) mientras el modelo predice crecimiento positivo de forma generalizada; el resultado es un puñado de ratios de error extremos (real casi 0, error grande) que domina la SUMA usada por la media. Subir eps a 1,000,000 COP no lo arregla (sigue por encima de 200% de MAPE media): el problema es la forma de la distribución de ratios, no el umbral de exclusión. Se reporta MAE (interpretable en pesos) + MAPE MEDIANA (robusta a esa cola) como cifra de negocio; el MAPE media se conserva en metricas_monto.json solo como evidencia de por qué se necesitó el amendment, nunca como cifra a citar.","{""componentes"": {""app"": {""pct_error_negativo"": 0.917214953623407, ""valor_modal_error"": -65253.229265354865, ""masa_en_valor_modal"": 0.787171970439635, ""mape_media"": 13297.057178554342, ""mape_mediana"": 1.0015536483158418, ""mae"": 13976975.215917211, ""n_mape"": 20235}, ""prod_conservadores"": {""pct_error_negativo"": 0.7688098559686298, ""valor_modal_error"": -91364.15987903281, ""masa_en_valor_modal"": 0.2358890732222306, ""mape_media"": 7303.649248820019, ""mape_mediana"": 5.039499535111035, ""mae"": 18434686.647955664, ""n_mape"": 136600}}, ""mape_media_total"": 22558.0950510539, ""mape_mediana_total"": 4.322037601676541, ""mae_total"": 30067086.139143016, ""n_meses_validacion"": 3}"
2026-08-07T19:02:35+00:00,agregacion_rango_oportunidad_12m,reportar_base_como_titular_marcar_conservador_optimista_agregado_como_no_citable,"El agregado [conservador, optimista] de SPEC_V2 §7 se construye sumando el límite p10/p90 de cada cliente (219,542 clientes con historial de inversión en esta corrida), lo que asume errores de backtest perfectamente correlacionados entre TODOS ellos. Bajo independencia razonable la incertidumbre agregada escalaría con sqrt(n) = 469, no con n = 219,542: la banda mostrada está sobrestimada en órdenes de magnitud (evidencia medida en esta misma celda, no asumida: ancho_agregado / ancho_medio_cliente = 219,542.0). No se inventa un método de agregación alternativo en este notebook -- es una decisión de negocio pendiente. Mientras no se decida, 'base' es la única cifra agregada defendible como titular; 'conservador'/'optimista' agregados NO deben citarse frente al negocio sin este aviso.","{""n_clientes"": 219542, ""raiz_n"": 468.553091975712, ""factor_escala_medido"": 219542.0, ""oportunidad_12m_conservador"": -2370736025619.5767, ""oportunidad_12m_base"": 1099050791340.5874, ""oportunidad_12m_optimista"": 3099577625590.368}"
